algorithm,corpus_fraction,corpus_chunks,k,query_count,precision_mean,precision_median,precision_std,precision_min,precision_max,recall_mean,recall_median,recall_std,recall_min,recall_max,mrr_mean,mrr_median,mrr_std,mrr_min,mrr_max,hit_rate_mean,hit_rate_median,hit_rate_std,hit_rate_min,hit_rate_max
optimized,0.25,326,10,26,0.2846153846153846,0.25,0.19119060163576596,0.0,0.7,0.8278388278388279,1.0,0.29290148269120647,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
semantic,0.25,326,1,26,0.7307692307692307,1.0,0.4523443208612048,0.0,1.0,0.322481684981685,0.29166666666666663,0.33274681851127264,0.0,1.0,0.7307692307692307,1.0,0.4523443208612048,0.0,1.0,0.7307692307692307,1.0,0.4523443208612048,0.0,1.0
semantic,0.25,326,3,26,0.5,0.3333333333333333,0.31622776601683794,0.0,1.0,0.49894688644688645,0.5,0.3153273371959927,0.0,1.0,0.8012820512820512,1.0,0.35596264089002616,0.0,1.0,0.8846153846153846,1.0,0.3258125936084211,0.0,1.0
semantic,0.25,326,5,26,0.4,0.4,0.25922962793631443,0.0,1.0,0.6247252747252747,0.6666666666666666,0.2755921901903471,0.0,1.0,0.808974358974359,1.0,0.33974600869966143,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
semantic,0.25,326,10,26,0.27307692307692305,0.2,0.17563073149695027,0.1,0.7,0.840018315018315,1.0,0.19214745286386758,0.5,1.0,0.8185897435897437,1.0,0.3168622877555949,0.125,1.0,1.0,1.0,0.0,1.0,1.0
indexed,0.5,652,1,28,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.16977556173984745,0.13392857142857142,0.13116223938782465,0.0,0.5,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0
indexed,0.5,652,3,28,0.6547619047619048,0.6666666666666666,0.30741378204648256,0.0,1.0,0.3471513605442177,0.2928571428571428,0.20204950453494996,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
indexed,0.5,652,5,28,0.5714285714285714,0.6,0.29671927480756627,0.0,1.0,0.47466888270459695,0.4494949494949495,0.2372516275348304,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
indexed,0.5,652,10,28,0.4428571428571429,0.4,0.2530240384255299,0.0,0.9,0.6799577406720264,0.6833333333333333,0.23226013298690118,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
linear,0.5,652,1,28,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.16977556173984745,0.13392857142857142,0.13116223938782465,0.0,0.5,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0
linear,0.5,652,3,28,0.6547619047619048,0.6666666666666666,0.30741378204648256,0.0,1.0,0.3471513605442177,0.2928571428571428,0.20204950453494996,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
linear,0.5,652,5,28,0.5714285714285714,0.6,0.29671927480756627,0.0,1.0,0.47466888270459695,0.4494949494949495,0.2372516275348304,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
linear,0.5,652,10,28,0.4428571428571429,0.4,0.2530240384255299,0.0,0.9,0.6799577406720264,0.6833333333333333,0.23226013298690118,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
optimized,0.5,652,1,28,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.16977556173984745,0.13392857142857142,0.13116223938782465,0.0,0.5,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0,0.8571428571428571,1.0,0.3563483225498992,0.0,1.0
optimized,0.5,652,3,28,0.6547619047619048,0.6666666666666666,0.30741378204648256,0.0,1.0,0.3471513605442177,0.2928571428571428,0.20204950453494996,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
optimized,0.5,652,5,28,0.5714285714285714,0.6,0.29671927480756627,0.0,1.0,0.47466888270459695,0.4494949494949495,0.2372516275348304,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
optimized,0.5,652,10,28,0.4428571428571429,0.4,0.2530240384255299,0.0,0.9,0.6799577406720264,0.6833333333333333,0.23226013298690118,0.0,1.0,0.9047619047619048,1.0,0.2502203614354674,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
semantic,0.5,652,1,28,0.8214285714285714,1.0,0.3900210277874798,0.0,1.0,0.14656127602556174,0.1111111111111111,0.11668481393158293,0.0,0.5,0.8214285714285714,1.0,0.3900210277874798,0.0,1.0,0.8214285714285714,1.0,0.3900210277874798,0.0,1.0
semantic,0.5,652,3,28,0.7380952380952381,0.8333333333333333,0.3189120246755479,0.0,1.0,0.4067176870748299,0.3,0.2847232575880772,0.0,1.0,0.869047619047619,1.0,0.3021089890583219,0.0,1.0,0.9285714285714286,1.0,0.26226526415648105,0.0,1.0
semantic,0.5,652,5,28,0.6142857142857142,0.6,0.2717764409628507,0.0,1.0,0.5479527417027417,0.5,0.2760606708137926,0.0,1.0,0.8779761904761905,1.0,0.2782238481873478,0.0,1.0,0.9642857142857143,1.0,0.18898223650461363,0.0,1.0
semantic,0.5,652,10,28,0.4428571428571429,0.4,0.23002185311411807,0.1,0.9,0.7173868789940219,0.7,0.1777093985303052,0.4,1.0,0.8819444444444444,1.0,0.26575041923270676,0.1111111111111111,1.0,1.0,1.0,0.0,1.0,1.0
indexed,0.75,978,1,29,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.1533899191860652,0.08333333333333333,0.1880598602515491,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0
indexed,0.75,978,3,29,0.7241379310344828,0.6666666666666666,0.282687857432913,0.0,1.0,0.2991842870899666,0.2222222222222222,0.2058958805832149,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
indexed,0.75,978,5,29,0.6275862068965516,0.6,0.2763235057011178,0.0,1.0,0.40364961554109624,0.3333333333333333,0.23169059871801387,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
indexed,0.75,978,10,29,0.506896551724138,0.5,0.27114971415748296,0.0,1.0,0.5827040325011927,0.5714285714285714,0.24191734925805577,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
linear,0.75,978,1,29,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.1533899191860652,0.08333333333333333,0.1880598602515491,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0
linear,0.75,978,3,29,0.7241379310344828,0.6666666666666666,0.282687857432913,0.0,1.0,0.2991842870899666,0.2222222222222222,0.2058958805832149,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
linear,0.75,978,5,29,0.6275862068965516,0.6,0.2763235057011178,0.0,1.0,0.40364961554109624,0.3333333333333333,0.23169059871801387,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
linear,0.75,978,10,29,0.506896551724138,0.5,0.27114971415748296,0.0,1.0,0.5827040325011927,0.5714285714285714,0.24191734925805577,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
optimized,0.75,978,1,29,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.1533899191860652,0.08333333333333333,0.1880598602515491,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0,0.896551724137931,1.0,0.3099340466946034,0.0,1.0
optimized,0.75,978,3,29,0.7241379310344828,0.6666666666666666,0.282687857432913,0.0,1.0,0.2991842870899666,0.2222222222222222,0.2058958805832149,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
optimized,0.75,978,5,29,0.6275862068965516,0.6,0.2763235057011178,0.0,1.0,0.40364961554109624,0.3333333333333333,0.23169059871801387,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
optimized,0.75,978,10,29,0.506896551724138,0.5,0.27114971415748296,0.0,1.0,0.5827040325011927,0.5714285714285714,0.24191734925805577,0.0,1.0,0.9310344827586207,1.0,0.22055684119302293,0.0,1.0,0.9655172413793104,1.0,0.18569533817705186,0.0,1.0
semantic,0.75,978,1,29,0.8275862068965517,1.0,0.38442587221924474,0.0,1.0,0.1332749766573296,0.08333333333333333,0.1874521260015636,0.0,1.0,0.8275862068965517,1.0,0.38442587221924474,0.0,1.0,0.8275862068965517,1.0,0.38442587221924474,0.0,1.0
semantic,0.75,978,3,29,0.7931034482758621,1.0,0.273336136795267,0.3333333333333333,1.0,0.34061386832685003,0.25,0.21885336529382765,0.09090909090909091,1.0,0.9022988505747127,1.0,0.22055684119302293,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,1.0
semantic,0.75,978,5,29,0.6896551724137931,0.8,0.2540315328939175,0.2,1.0,0.46882352209431316,0.375,0.24591296758190068,0.18181818181818182,1.0,0.9022988505747127,1.0,0.22055684119302293,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,1.0
semantic,0.75,978,10,29,0.5137931034482759,0.6,0.22316575827179364,0.1,0.9,0.6307823233786722,0.5833333333333334,0.2190542572719548,0.3333333333333333,1.0,0.9022988505747127,1.0,0.22055684119302293,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,1.0
indexed,1.0,1305,1,30,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.09454745145921617,0.07417582417582418,0.0750853962823435,0.0,0.3333333333333333,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0
indexed,1.0,1305,3,30,0.7777777777777778,0.8333333333333333,0.26743185236191797,0.0,1.0,0.2570640905935024,0.19934640522875818,0.169412632038099,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
indexed,1.0,1305,5,30,0.6333333333333333,0.6,0.25775333481682716,0.0,1.0,0.31974957504369267,0.28594771241830064,0.16388119226977946,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
indexed,1.0,1305,10,30,0.5399999999999999,0.6,0.2607680962081059,0.1,1.0,0.5118049270990448,0.5,0.20094339764616204,0.21428571428571427,1.0,0.9208333333333333,1.0,0.21396133768274236,0.125,1.0,1.0,1.0,0.0,1.0,1.0
